layer1,layer2,actFunc,learning,mse,mae
130,30,<class 'torch.nn.modules.activation.Tanh'>,0.001,0.9927489161491394,0.7162419557571411
60,20,<class 'torch.nn.modules.activation.Tanh'>,0.001,1.0519551038742063,0.7669240236282349
90,10,<class 'torch.nn.modules.activation.Tanh'>,0.001,1.1025233268737793,0.830374002456665
130,50,<class 'torch.nn.modules.activation.Tanh'>,0.001,1.1157084703445437,0.804352879524231
80,20,<class 'torch.nn.modules.activation.Tanh'>,0.001,1.2406432628631592,0.8912447690963745
80,70,<class 'torch.nn.modules.activation.Tanh'>,0.001,1.251099944114685,0.8579583764076233
130,20,<class 'torch.nn.modules.activation.Tanh'>,0.001,1.252495050430298,0.8492417931556702
60,30,<class 'torch.nn.modules.activation.Tanh'>,0.001,1.258691906929016,0.8043343424797058
70,70,<class 'torch.nn.modules.activation.Tanh'>,0.001,1.2653002738952637,0.8874868750572205
110,20,<class 'torch.nn.modules.activation.Tanh'>,0.001,1.2657431364059448,0.8547773361206055
80,10,<class 'torch.nn.modules.activation.Tanh'>,0.001,1.2840238809585571,0.8221536874771118
130,90,<class 'torch.nn.modules.activation.Tanh'>,0.001,1.289325475692749,0.8478925228118896
70,80,<class 'torch.nn.modules.activation.Tanh'>,0.001,1.305631160736084,0.8670051693916321
70,30,<class 'torch.nn.modules.activation.Tanh'>,0.001,1.3145536184310913,0.9470911622047424
70,20,<class 'torch.nn.modules.activation.Tanh'>,0.001,1.3181345462799072,0.939710259437561
130,70,<class 'torch.nn.modules.activation.Tanh'>,0.001,1.3195027112960815,0.9186697602272034
40,10,<class 'torch.nn.modules.activation.Tanh'>,0.001,1.3243273496627808,0.902149736881256
50,40,<class 'torch.nn.modules.activation.Tanh'>,0.001,1.3261449337005615,0.8613122701644897
80,60,<class 'torch.nn.modules.activation.Tanh'>,0.001,1.3338838815689087,0.9069992899894714
80,110,<class 'torch.nn.modules.activation.Tanh'>,0.001,1.34131121635437,0.8898314237594604
40,40,<class 'torch.nn.modules.activation.Tanh'>,0.001,1.3605185747146606,0.9477919936180116
90,20,<class 'torch.nn.modules.activation.Tanh'>,0.001,1.3693057298660278,0.9252017736434937
30,60,<class 'torch.nn.modules.activation.Tanh'>,0.001,1.3728067874908447,0.9098891615867616
130,20,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.3752294778823853,0.9167454838752748
90,60,<class 'torch.nn.modules.activation.Tanh'>,0.001,1.3899455070495603,0.8775804042816162
50,10,<class 'torch.nn.modules.activation.Tanh'>,0.001,1.4036673307418823,0.8956758975982666
110,110,<class 'torch.nn.modules.activation.Tanh'>,0.001,1.4134196043014526,0.926555633544922
130,60,<class 'torch.nn.modules.activation.Tanh'>,0.001,1.4234873056411743,0.9408665895462036
80,40,<class 'torch.nn.modules.activation.Tanh'>,0.001,1.4359166622161863,0.9498719573020936
50,70,<class 'torch.nn.modules.activation.Tanh'>,0.001,1.437677264213562,0.9914491772651672
110,70,<class 'torch.nn.modules.activation.Tanh'>,0.001,1.4412957429885864,0.9829973578453064
130,110,<class 'torch.nn.modules.activation.Tanh'>,0.001,1.4422394037246704,0.8757649660110474
60,40,<class 'torch.nn.modules.activation.Tanh'>,0.001,1.4610809087753296,0.9454529881477356
60,110,<class 'torch.nn.modules.activation.Tanh'>,0.001,1.4640097618103027,0.9721499681472778
90,30,<class 'torch.nn.modules.activation.Tanh'>,0.001,1.4692423343658447,0.8440777063369751
90,110,<class 'torch.nn.modules.activation.Tanh'>,0.001,1.480194330215454,0.9794517755508424
110,10,<class 'torch.nn.modules.activation.Tanh'>,0.001,1.481297254562378,1.0018606185913086
90,90,<class 'torch.nn.modules.activation.Tanh'>,0.001,1.4840904474258425,1.0042577981948853
130,90,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.4961460828781128,0.9559043645858764
130,130,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.4967457056045532,0.986136257648468
110,60,<class 'torch.nn.modules.activation.Tanh'>,0.001,1.5044982433319092,0.9397945404052734
110,20,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.505160927772522,0.9088271856307985
130,10,<class 'torch.nn.modules.activation.Tanh'>,0.001,1.5079444646835327,0.9221720099449158
70,110,<class 'torch.nn.modules.activation.Tanh'>,0.001,1.508114457130432,0.9212499260902404
40,130,<class 'torch.nn.modules.activation.Tanh'>,0.001,1.51430344581604,0.9647009372711182
70,130,<class 'torch.nn.modules.activation.Tanh'>,0.001,1.5190327167510986,0.967536985874176
130,80,<class 'torch.nn.modules.activation.Tanh'>,0.001,1.519110083580017,0.9029433131217957
110,40,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.5238449573516846,0.9779512882232666
60,90,<class 'torch.nn.modules.activation.Tanh'>,0.001,1.5238631963729858,0.9123278856277466
110,70,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.528656005859375,0.992902398109436
90,130,<class 'torch.nn.modules.activation.Tanh'>,0.001,1.5307233333587646,0.9314640164375304
60,130,<class 'torch.nn.modules.activation.Tanh'>,0.001,1.5310451984405518,0.9585564732551576
90,70,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.5330203771591189,0.9967475533485411
50,130,<class 'torch.nn.modules.activation.Tanh'>,0.001,1.5433231592178345,0.997413694858551
60,20,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.5465084314346311,0.9874040484428406
110,50,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.5511914491653442,0.9734475016593932
130,70,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.552370309829712,0.9605538249015808
110,40,<class 'torch.nn.modules.activation.Tanh'>,0.001,1.552758812904358,1.0267938375473022
50,130,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.5628677606582642,0.9928303956985474
80,80,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.5705196857452393,0.9826214909553528
60,40,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.578359603881836,0.998625099658966
130,110,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.5792739391326904,1.0043801069259644
110,10,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.579810380935669,1.0269033908843994
60,30,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.580959439277649,0.9903685450553894
70,130,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.5822724103927612,0.960867166519165
70,10,<class 'torch.nn.modules.activation.Tanh'>,0.001,1.5827736854553225,1.0186282396316528
80,20,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.5840888023376465,1.0041288137435913
110,30,<class 'torch.nn.modules.activation.Tanh'>,0.001,1.586261510848999,1.0367943048477173
90,30,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.5902137756347656,1.036064386367798
80,40,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.5912104845046997,0.9682979583740234
110,60,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.5934298038482666,0.999984085559845
110,110,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.5967724323272705,0.977222740650177
110,80,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.5970609188079834,1.0229887962341309
80,10,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.5988004207611084,1.0417962074279783
60,10,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.6018742322921753,0.976889431476593
90,60,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.60191011428833,0.9684371948242188
40,110,<class 'torch.nn.modules.activation.Tanh'>,0.001,1.603789210319519,0.983562469482422
80,130,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.6059521436691284,1.0432783365249634
40,50,<class 'torch.nn.modules.activation.Tanh'>,0.001,1.608494520187378,1.0338774919509888
90,80,<class 'torch.nn.modules.activation.Tanh'>,0.001,1.611981987953186,1.0075923204421997
90,70,<class 'torch.nn.modules.activation.Tanh'>,0.001,1.620758295059204,0.9739941954612732
60,60,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.6217057704925537,1.0708425045013428
70,10,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.628536343574524,1.0273441076278689
80,70,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.6294350624084473,1.0495972633361816
90,90,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.6328577995300293,0.9613078236579896
70,110,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.640722632408142,1.0248112678527832
110,130,<class 'torch.nn.modules.activation.Tanh'>,0.001,1.6430081129074097,0.9631274938583374
60,130,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.6461271047592163,1.0608144998550415
90,20,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.6482669115066528,1.0159733295440674
40,90,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.6540275812149048,1.04460346698761
60,50,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.6543060541152954,1.0220799446105957
90,110,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.6548899412155151,1.0543142557144165
80,110,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.65529465675354,1.0495866537094116
60,70,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.6609078645706177,0.9799915552139282
90,130,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.6685326099395752,0.976123034954071
30,60,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.6748335361480713,1.0529509782791138
70,60,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.67497456073761,0.9588224291801452
40,80,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.6775239706039429,1.036569595336914
70,30,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.6785911321640017,1.0580793619155884
50,80,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.679957151412964,1.0266236066818235
90,50,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.684045910835266,1.0463261604309082
70,90,<class 'torch.nn.modules.activation.Tanh'>,0.001,1.6848162412643433,0.9725988507270812
50,40,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.6881299018859863,0.9980636835098268
50,60,<class 'torch.nn.modules.activation.Tanh'>,0.001,1.6885879039764404,1.078867793083191
30,70,<class 'torch.nn.modules.activation.Tanh'>,0.001,1.6949747800827026,1.0093945264816284
30,130,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.6971824169158936,1.0249725580215454
30,50,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.699395775794983,1.063794732093811
110,90,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.7041245698928833,1.0715224742889404
50,20,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.7119380235671997,1.1007503271102903
30,20,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.7123839855194092,1.0646027326583862
30,110,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.712547779083252,1.0908714532852173
60,10,<class 'torch.nn.modules.activation.Tanh'>,0.001,1.713489055633545,0.9593295454978944
50,30,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.7165812253952026,1.0921597480773926
70,40,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.7184062004089355,0.9916642904281616
40,20,<class 'torch.nn.modules.activation.Tanh'>,0.001,1.7191717624664309,1.0887854099273682
50,60,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.7201645374298096,1.0395485162734983
40,70,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.7219059467315674,1.0527856349945068
30,80,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.72499418258667,1.086907982826233
130,40,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.725475549697876,0.9914356470108032
60,50,<class 'torch.nn.modules.activation.Tanh'>,0.001,1.7261028289794922,1.0577200651168823
60,80,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.7267893552780151,1.0796722173690796
70,20,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.7276155948638916,0.9908873438835144
70,50,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.7306243181228638,1.095561981201172
80,130,<class 'torch.nn.modules.activation.Tanh'>,0.001,1.7338109016418457,1.0196797847747805
80,60,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.734325289726257,1.024904489517212
80,90,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.7350252866744995,0.9944769740104676
130,60,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.746432900428772,1.0288379192352295
130,80,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.7522659301757812,1.00005304813385
110,30,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.7556086778640747,1.0863927602767944
70,80,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.7598775625228882,1.134413480758667
110,50,<class 'torch.nn.modules.activation.Tanh'>,0.001,1.7634276151657104,1.0616369247436523
40,130,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.7708357572555542,1.0879276990890503
90,50,<class 'torch.nn.modules.activation.Tanh'>,0.001,1.7761975526809692,1.0880305767059326
50,110,<class 'torch.nn.modules.activation.Tanh'>,0.001,1.7784857749938965,1.0096882581710815
70,60,<class 'torch.nn.modules.activation.Tanh'>,0.001,1.7841440439224243,1.080127477645874
130,30,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.7892440557479858,1.1180894374847412
70,90,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.789517521858215,1.0228338241577148
60,90,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.8005346059799194,1.1123831272125244
90,40,<class 'torch.nn.modules.activation.Tanh'>,0.001,1.8025991916656492,1.0867886543273926
80,50,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.8147884607315063,1.1294034719467163
110,130,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.8150038719177248,1.130921483039856
90,40,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.820088505744934,1.1171826124191284
30,10,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.8335005044937132,1.1357935667037964
40,30,<class 'torch.nn.modules.activation.Tanh'>,0.001,1.835647463798523,1.1164288520812988
