layer1,layer2,actFunc,learning,mse,mae
30,10,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.8335005044937134,1.1357935667037964
30,10,<class 'torch.nn.modules.activation.Tanh'>,0.001,2.6523027420043945,1.3445547819137573
30,20,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.7123839855194092,1.0646027326583862
30,20,<class 'torch.nn.modules.activation.Tanh'>,0.001,2.3514621257781982,1.2599685192108154
30,30,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,2.1622674465179443,1.0685524940490723
30,30,<class 'torch.nn.modules.activation.Tanh'>,0.001,1.8398375511169434,1.1413687467575073
30,40,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,2.005690574645996,1.1246299743652344
30,40,<class 'torch.nn.modules.activation.Tanh'>,0.001,3.1549324989318848,1.5604990720748901
30,50,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.699395775794983,1.063794732093811
30,50,<class 'torch.nn.modules.activation.Tanh'>,0.001,2.254425525665283,1.2339859008789062
30,60,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.6748335361480713,1.0529509782791138
30,60,<class 'torch.nn.modules.activation.Tanh'>,0.001,1.3728067874908447,0.9098891615867615
30,70,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.936176061630249,1.1394630670547485
30,70,<class 'torch.nn.modules.activation.Tanh'>,0.001,1.6949747800827026,1.0093945264816284
30,80,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.72499418258667,1.086907982826233
30,80,<class 'torch.nn.modules.activation.Tanh'>,0.001,2.522657632827759,1.2909327745437622
30,90,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,2.0424866676330566,1.1784403324127197
30,90,<class 'torch.nn.modules.activation.Tanh'>,0.001,2.500124931335449,1.3030545711517334
30,110,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.712547779083252,1.0908714532852173
30,110,<class 'torch.nn.modules.activation.Tanh'>,0.001,2.352060556411743,1.1782786846160889
30,130,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.6971824169158936,1.0249725580215454
30,130,<class 'torch.nn.modules.activation.Tanh'>,0.001,1.9293195009231567,1.1116392612457275
40,10,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.900500774383545,1.1585958003997803
40,10,<class 'torch.nn.modules.activation.Tanh'>,0.001,1.3243273496627808,0.9021497368812561
40,20,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.8618255853652954,1.1740535497665405
40,20,<class 'torch.nn.modules.activation.Tanh'>,0.001,1.7191717624664307,1.0887854099273682
40,30,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.9864540100097656,1.1652270555496216
40,30,<class 'torch.nn.modules.activation.Tanh'>,0.001,1.835647463798523,1.1164288520812988
40,40,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.8431236743927002,1.0368611812591553
