-42,-42,-42,-42,-42,-42,-41,-41,-42,-42,0.5
-44,-42,-42,-42,-43,-43,-42,-41,-42,-42,0.5
-41,-42,-42,-42,-42,-41,-42,-42,-41,-49,0.5
-42,-42,-42,-43,-42,-42,-42,-41,-42,-42,0.5
-43,-42,-42,-42,-42,-42,-42,-42,-41,-42,0.5
-40,-43,-42,-42,-43,-42,-41,-42,-41,-42,0.5
-42,-42,-42,-42,-42,-42,-42,-42,-43,-42,0.5
-41,-43,-42,-42,-42,-42,-42,-42,-42,-42,0.5
-42,-44,-42,-42,-42,-42,-43,-42,-42,-42,0.5
-42,-42,-42,-42,-42,-42,-42,-41,-42,-41,0.5
-42,-42,-42,-42,-41,-42,-42,-42,-41,-40,0.5
-42,-49,-42,-42,-42,-42,-42,-42,-42,-49,0.5
-42,-42,-42,-42,-42,-42,-41,-42,-40,-42,0.5
-42,-42,-42,-42,-42,-42,-41,-42,-41,-42,0.5
-42,-42,-42,-42,-42,-42,-41,-41,-41,-42,0.5
-42,-42,-42,-42,-42,-41,-42,-41,-41,-42,0.5
-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,0.5
-42,-42,-41,-42,-42,-42,-41,-42,-40,-40,0.5
-42,-43,-43,-42,-42,-42,-41,-41,-42,-42,0.5
-41,-42,-42,-42,-42,-42,-42,-42,-41,-42,0.5
-42,-42,-43,-42,-42,-42,-42,-42,-42,-40,0.5
-42,-42,-42,-43,-42,-42,-42,-42,-42,-41,0.5
-42,-42,-43,-42,-42,-42,-41,-42,-42,-42,0.5
-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,0.5
-42,-42,-42,-41,-42,-42,-42,-41,-40,-42,0.5
-42,-43,-42,-42,-42,-42,-42,-42,-41,-42,0.5
-42,-49,-42,-42,-42,-42,-42,-42,-42,-41,0.5
-42,-42,-43,-44,-42,-42,-41,-41,-42,-42,0.5
-42,-43,-42,-42,-41,-42,-42,-41,-42,-41,0.5
-42,-42,-41,-42,-42,-42,-42,-41,-42,-43,0.5
-42,-42,-42,-42,-42,-42,-43,-41,-42,-40,0.5
-43,-42,-42,-42,-43,-41,-42,-42,-42,-41,0.5
-42,-42,-42,-42,-42,-42,-42,-41,-42,-40,0.5
-42,-42,-43,-42,-42,-42,-49,-42,-42,-41,0.5
-42,-42,-41,-42,-42,-42,-42,-42,-42,-41,0.5
-42,-42,-42,-42,-42,-42,-41,-41,-42,-42,0.5
-43,-42,-42,-43,-42,-42,-42,-43,-42,-42,0.5
-41,-42,-43,-50,-42,-42,-42,-41,-42,-42,0.5
-42,-42,-42,-42,-42,-43,-42,-41,-42,-42,0.5
-42,-42,-42,-41,-42,-42,-42,-42,-41,-40,0.5
-42,-42,-42,-42,-42,-42,-42,-42,-41,-41,0.5
-42,-42,-42,-42,-42,-42,-42,-41,-42,-42,0.5
-42,-42,-42,-39,-42,-42,-42,-41,-42,-43,0.5
-42,-42,-42,-41,-42,-41,-41,-40,-42,-42,0.5
-42,-42,-42,-44,-42,-42,-42,-41,-40,-41,0.5
-42,-43,-42,-42,-42,-42,-42,-41,-42,-42,0.5
-43,-43,-42,-42,-42,-42,-43,-41,-42,-41,0.5
-42,-41,-42,-41,-42,-41,-42,-42,-42,-42,0.5
-42,-43,-43,-42,-42,-42,-42,-42,-42,-41,0.5
-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,0.5
-42,-42,-40,-42,-41,-42,-42,-41,-42,-43,0.5
-42,-42,-42,-43,-42,-42,-42,-42,-42,-40,0.5
-42,-42,-42,-42,-42,-42,-41,-42,-42,-41,0.5
-42,-42,-42,-42,-42,-42,-41,-42,-42,-43,0.5
-42,-42,-44,-40,-42,-42,-41,-42,-42,-42,0.5
-42,-42,-43,-42,-42,-42,-42,-41,-41,-42,0.5
-42,-43,-42,-42,-42,-42,-42,-42,-42,-40,0.5
-42,-42,-43,-43,-42,-42,-42,-41,-41,-42,0.5
-42,-42,-42,-42,-42,-43,-42,-41,-42,-42,0.5
-42,-42,-40,-43,-42,-42,-42,-42,-42,-41,0.5
-42,-43,-42,-42,-42,-41,-41,-42,-41,-41,0.5
-42,-42,-42,-42,-42,-42,-41,-49,-42,-41,0.5
-42,-42,-42,-42,-42,-41,-42,-42,-41,-42,0.5
