-59,-56,-57,-52,-51,-55,-51,-57,-57,-55
-60,-57,-59,-51,-55,-54,-58,-53,-56,-53
-52,-56,-55,-51,-55,-53,-58,-52,-55,-55
-65,-52,-59,-57,-53,-49,-51,-53,-54,-53
-56,-52,-58,-57,-55,-54,-56,-54,-51,-53
-54,-51,-50,-56,-59,-56,-57,-57,-57,-53
-53,-52,-56,-55,-56,-55,-60,-57,-49,-54
-54,-58,-55,-54,-57,-49,-59,-54,-54,-51
-56,-52,-56,-54,-57,-49,-54,-63,-50,-53
-52,-52,-56,-52,-56,-53,-55,-55,-57,-51
-67,-56,-51,-52,-54,-54,-56,-50,-50,-51
-58,-57,-51,-56,-56,-53,-51,-53,-54,-53
-54,-51,-55,-54,-57,-53,-50,-68,-52,-53
-58,-57,-52,-52,-52,-53,-51,-62,-49,-56
-56,-57,-56,-56,-56,-48,-51,-55,-55,-55
-54,-52,-50,-54,-52,-55,-57,-56,-54,-54
-54,-58,-52,-51,-56,-49,-51,-57,-50,-51
-56,-57,-50,-61,-53,-55,-52,-62,-57,-51
-66,-51,-50,-75,-55,-54,-56,-58,-57,-57
-56,-56,-51,-76,-53,-55,-51,-52,-50,-51
-51,-56,-52,-60,-56,-53,-56,-51,-50,-55
-58,-56,-57,-58,-56,-55,-50,-51,-49,-55
-55,-57,-56,-54,-56,-54,-57,-54,-54,-56
-58,-51,-55,-52,-56,-53,-52,-50,-48,-56
-59,-51,-57,-52,-58,-55,-57,-56,-49,-56
-78,-52,-51,-54,-53,-55,-57,-55,-54,-55
-63,-57,-55,-55,-63,-55,-57,-54,-54,-56
-59,-53,-56,-54,-54,-55,-52,-54,-49,-52
-57,-57,-51,-56,-55,-52,-52,-55,-57,-52
-58,-52,-55,-55,-56,-53,-56,-52,-55,-63
-53,-51,-51,-50,-58,-50,-56,-53,-52,-56
-51,-57,-60,-54,-59,-52,-57,-50,-49,-56
-55,-57,-56,-54,-56,-52,-56,-54,-50,-52
-55,-52,-56,-52,-58,-49,-56,-54,-56,-55
-54,-52,-55,-55,-55,-50,-56,-54,-50,-56
-58,-56,-56,-50,-53,-53,-51,-50,-57,-52
-59,-52,-56,-55,-57,-55,-50,-51,-58,-52
-48,-56,-56,-57,-59,-50,-56,-50,-54,-53
-55,-56,-56,-55,-54,-49,-57,-50,-55,-54
-53,-51,-59,-55,-60,-50,-57,-56,-51,-54
-54,-52,-54,-52,-60,-54,-56,-51,-49,-52
