-59,-56,-57,-52,-51,-59,-62,-57,-60,-58,-63,-66,-58,-62,-62
-60,-57,-59,-51,-55,-60,-61,-64,-59,-72,-64,-58,-66,-69,-62
-52,-56,-55,-51,-55,-60,-58,-67,-59,-72,-63,-68,-57,-80,-68
-65,-52,-59,-57,-53,-58,-59,-57,-66,-76,-65,-68,-58,-68,-68
-56,-52,-58,-57,-55,-59,-62,-61,-58,-74,-64,-57,-71,-62,-70
-54,-51,-50,-56,-59,-57,-62,-70,-61,-78,-64,-68,-70,-74,-68
-53,-52,-56,-55,-56,-67,-58,-72,-60,-74,-62,-65,-64,-76,-67
-54,-58,-55,-54,-57,-72,-66,-69,-64,-60,-60,-57,-64,-69,-61
-56,-52,-56,-54,-57,-65,-68,-62,-62,-58,-64,-68,-58,-76,-72
-52,-52,-56,-52,-56,-62,-58,-67,-60,-72,-55,-58,-59,-70,-67
-67,-56,-51,-52,-54,-66,-69,-62,-62,-72,-59,-68,-64,-60,-73
-58,-57,-51,-56,-56,-65,-60,-69,-69,-59,-63,-68,-66,-60,-68
-54,-51,-55,-54,-57,-63,-70,-62,-66,-59,-63,-69,-58,-60,-62
-58,-57,-52,-52,-52,-62,-68,-68,-64,-79,-61,-69,-76,-68,-62
-56,-57,-56,-56,-56,-65,-69,-59,-83,-61,-66,-58,-63,-60,-69
-54,-52,-50,-54,-52,-62,-61,-61,-60,-68,-60,-58,-62,-61,-68
-54,-58,-52,-51,-56,-61,-61,-68,-66,-61,-60,-58,-68,-65,-70
-56,-57,-50,-61,-53,-74,-56,-65,-58,-59,-61,-70,-66,-76,-65
-66,-51,-50,-75,-55,-66,-64,-61,-60,-77,-60,-67,-61,-69,-66
-56,-56,-51,-76,-53,-70,-65,-61,-58,-80,-61,-68,-65,-64,-64
-51,-56,-52,-60,-56,-76,-59,-61,-64,-62,-68,-59,-57,-68,-73
-58,-56,-57,-58,-56,-64,-64,-66,-72,-77,-61,-70,-64,-68,-68
-55,-57,-56,-54,-56,-58,-60,-62,-60,-61,-62,-67,-57,-66,-65
-58,-51,-55,-52,-56,-70,-65,-60,-92,-74,-65,-68,-66,-67,-67
-59,-51,-57,-52,-58,-70,-64,-72,-59,-62,-66,-66,-67,-65,-69
-78,-52,-51,-54,-53,-72,-64,-67,-61,-62,-65,-58,-64,-79,-66
