erroX,erroY,CoordX,CoordY
-0.0005284547805786,-0.3424887657165527,2.0,2.0
-0.0968672037124633,-0.0101411342620849,2.0,2.0
-0.1757410764694214,-0.0392301082611084,2.0,2.0
-0.0936474800109863,0.016383409500122,2.0,2.0
-0.1984903812408447,0.0136826038360595,2.0,2.0
-0.0750893354415893,-0.0823601484298706,2.0,2.0
-0.0717391967773437,-0.021868348121643,2.0,2.0
0.0232939720153808,-0.2327156066894531,2.0,2.0
-0.0758718252182006,-0.0231581926345825,2.0,2.0
-0.0140399932861328,0.2755203247070312,2.0,2.0
-0.1171826124191284,-0.0668882131576538,2.0,2.0
-0.0028580427169799,-0.2396013736724853,2.0,2.0
-0.1819518804550171,0.0176496505737304,2.0,2.0
-0.2318657636642456,3.551845073699951,2.0,2.0
-0.0883690118789672,-0.022511601448059,2.0,2.0
-0.0806279182434082,-0.0169900655746459,2.0,2.0
-0.0102418661117553,-0.1292866468429565,2.0,2.0
-0.1001362800598144,-0.0007168054580688,2.0,2.0
-0.0844111442565918,0.1038501262664794,2.0,2.0
-0.0537484884262084,-0.0817217826843261,2.0,2.0
-0.1027959585189819,-0.0173107385635375,2.0,2.0
-0.0885932445526123,-0.0094443559646606,2.0,2.0
-0.0222901105880737,-0.098371148109436,2.0,2.0
-0.0835299491882324,-0.0066989660263061,2.0,2.0
0.0230765342712402,0.007312536239624,2.0,2.0
0.0806555747985839,-0.0891093015670776,2.0,2.0
-0.1139222383499145,-0.0603488683700561,2.0,2.0
0.0417873859405517,-0.1854822635650634,2.0,2.0
-0.1142240762710571,-0.1795898675918579,2.0,2.0
-0.0492793321609497,-0.007028579711914,2.0,2.0
-0.1096824407577514,-0.0329923629760742,2.0,2.0
-0.0409352779388427,-0.1808406114578247,2.0,2.0
-0.1295304298400879,-0.0660269260406494,2.0,2.0
0.083622932434082,-0.2330065965652465,2.0,2.0
0.057119607925415,-0.3004708290100097,2.0,2.0
-0.0982764959335327,-0.0100656747817993,2.0,2.0
-0.0720351934432983,-0.0104402303695678,2.0,2.0
-0.0759447813034057,0.0205357074737548,2.0,2.0
-0.0444977283477783,0.1799812316894531,2.0,2.0
1.144735336303711,1.2697553634643557,2.0,2.0
-0.0958888530731201,0.05010986328125,2.0,2.0
-0.1746259927749633,-0.0086833238601684,2.0,2.0
-0.1123323440551757,-0.0035426616668701,2.0,2.0
-0.1020288467407226,-0.0149942636489868,2.0,2.0
-0.1792663335800171,0.4935038089752197,2.0,2.0
-0.1156760454177856,0.1153309345245361,2.0,2.0
-0.0535212755203247,-0.0934809446334838,2.0,2.0
-0.0976130962371826,0.1042988300323486,2.0,2.0
-0.0598794221878051,-0.1161550283432006,2.0,2.0
-0.0247806310653686,0.1036367416381836,2.0,2.0
-0.1376289129257202,-0.0762752294540405,2.0,2.0
-0.0407807826995849,0.0658440589904785,2.0,2.0
0.033421516418457,-0.1641982793807983,2.0,2.0
-0.0391122102737426,-0.0828751325607299,2.0,2.0
-0.0689820051193237,-0.0113433599472045,2.0,2.0
-0.0700349807739257,-0.0350772142410278,2.0,2.0
-0.0324548482894897,-0.0622891187667846,2.0,2.0
-0.1151565313339233,-0.0441359281539917,2.0,2.0
-0.1560233831405639,-0.072611927986145,2.0,2.0
-0.0976456403732299,-0.0135961771011352,2.0,2.0
-0.0949759483337402,0.0172038078308105,2.0,2.0
-0.0610109567642211,0.168717622756958,2.0,2.0
-0.0272548198699951,0.1449332237243652,2.0,2.0
0.0237877368927001,0.140580415725708,2.0,2.0
-0.0256553888320922,-0.1858569383621215,2.0,2.0
-0.1385360956192016,-0.0422276258468627,2.0,2.0
-0.0828566551208496,0.006007432937622,2.0,2.0
-0.0793248414993286,0.0194358825683593,2.0,2.0
-0.0823824405670166,-0.010187029838562,2.0,2.0
-0.0674662590026855,-0.0009466409683227,2.0,2.0
-0.1054911613464355,-0.0222634077072143,2.0,2.0
-0.080096960067749,-0.015360951423645,2.0,2.0
0.0088403224945068,0.2783036231994629,2.0,2.0
-0.1559764146804809,0.018925666809082,2.0,2.0
-0.1547333002090454,-0.095920443534851,2.0,2.0
-0.1893123388290405,0.0235462188720703,2.0,2.0
-0.1199660301208496,-0.1044696569442749,2.0,2.0
-0.0626617670059204,0.0506937503814697,2.0,2.0
-0.2768105268478393,0.3839383125305176,2.0,2.0
-0.1154476404190063,-0.0479435920715332,2.0,2.0
-0.0727802515029907,-0.0286866426467895,2.0,2.0
-0.0649037361145019,-0.0297669172286987,2.0,2.0
-0.0969671010971069,0.0418932437896728,2.0,2.0
-0.1024760007858276,-0.1092240810394287,2.0,2.0
-0.1042697429656982,0.0054380893707275,2.0,2.0
-0.1049202680587768,-0.0022003650665283,2.0,2.0
0.0015223026275634,-0.1642038822174072,2.0,2.0
0.0161483287811279,-0.0921413898468017,2.0,2.0
-0.0815081596374511,-0.0185662508010864,2.0,2.0
0.043342113494873,-0.1649031639099121,2.0,2.0
0.0049271583557128,-0.0340666770935058,2.0,2.0
-0.0635334253311157,-0.0226693153381347,2.0,2.0
-0.1243132352828979,0.0407640933990478,2.0,2.0
-0.100486159324646,-0.0082836151123046,2.0,2.0
