erro,dist
-0.1978362798690796,0.5
-0.5782971382141113,3.5
-1.1195716857910156,4.5
-0.16658496856689453,4.5
-0.1441035270690918,1.0
1.5666861534118652,2.0
0.6846437454223633,1.5
-0.7446537017822266,3.5
0.7200560569763184,2.0
-0.21973884105682373,0.5
-0.18468689918518066,2.5
0.030211687088012695,3.0
0.73305344581604,1.5
0.4350929260253906,3.0
-0.15118026733398438,2.5
0.4287855625152588,3.5
-0.19730663299560547,2.5
-1.859865665435791,6.0
0.7427432537078857,2.5
-1.337764024734497,5.0
0.182830810546875,3.5
-0.1845318078994751,0.5
-0.2928593158721924,3.5
-1.1015899181365967,5.0
0.1010136604309082,3.5
-0.4184560775756836,3.5
0.19663488864898682,1.5
-1.4876136779785156,5.0
-1.6022000312805176,5.0
-0.8394179344177246,3.0
-2.168609619140625,5.0
-0.3432624340057373,2.5
-0.06724715232849121,3.0
1.3744194507598877,2.0
-0.5661864280700684,4.5
0.29630064964294434,1.5
-0.024367332458496094,3.0
0.699307918548584,4.5
-0.06747263669967651,1.0
-0.6944828033447266,6.0
-0.20712053775787354,0.5
-0.19001245498657227,3.0
-0.21796369552612305,2.5
0.9360907077789307,2.0
0.1541304588317871,4.0
-0.040709495544433594,2.5
-0.07900822162628174,0.5
-1.824089527130127,5.0
1.040536880493164,2.0
-1.1131539344787598,5.0
0.04804491996765137,2.5
0.8647115230560303,2.0
-0.24171113967895508,4.5
-0.16480016708374023,0.5
0.25132179260253906,2.5
-2.117396354675293,5.0
-1.5458028316497803,5.0
1.1701374053955078,2.0
0.6413555145263672,3.0
-0.4394392967224121,4.0
0.5406062602996826,1.5
0.47618603706359863,2.0
-0.1332765817642212,1.5
-0.9015889167785645,6.0
-0.028314590454101562,4.5
-0.29152917861938477,3.0
-0.7194385528564453,5.5
-1.4574618339538574,4.5
0.44356250762939453,3.0
-0.28511714935302734,2.5
-1.4228177070617676,5.5
1.5660912990570068,1.5
0.0069427490234375,3.0
-0.7375266551971436,3.5
-0.23410987854003906,0.5
1.1660552024841309,2.0
-0.4439263343811035,4.0
-0.7801036834716797,4.0
0.20357942581176758,1.5
-1.342503547668457,5.5
0.008847236633300781,4.0
-0.19943618774414062,4.5
-0.18226027488708496,0.5
0.7203578948974609,4.0
-0.028338909149169922,3.0
0.8189642429351807,2.0
0.501702070236206,3.0
-0.02022242546081543,4.0
-0.17362666130065918,0.5
-0.5769827365875244,4.5
-2.672835350036621,5.5
-0.17533612251281738,0.5
0.004497051239013672,4.0
0.4612112045288086,4.0
1.093752384185791,2.0
1.5256319046020508,4.0
-0.11723566055297852,1.0
0.26558899879455566,2.5
0.4827744960784912,1.5
0.1085730791091919,1.5
0.3485461473464966,1.5
-0.17252540588378906,0.5
-1.7436914443969727,4.5
-0.05992245674133301,1.0
-1.004075050354004,6.0
0.29981446266174316,1.5
-0.18660879135131836,0.5
-1.1072821617126465,6.0
-0.7104310989379883,6.0
-1.7218072414398193,5.0
-0.20391416549682617,1.5
0.21626615524291992,3.5
-0.043701887130737305,3.0
0.3877091407775879,2.0
-0.010484635829925537,1.0
0.31856298446655273,1.5
1.0406315326690674,2.0
-0.2724952697753906,4.0
-0.11031204462051392,1.0
0.9659140110015869,2.5
-0.8919544219970703,5.0
-0.631967306137085,3.0
-0.48908042907714844,3.5
-0.19057250022888184,0.5
-1.6441936492919922,6.0
-0.5123257637023926,6.0
-0.3956174850463867,3.0
0.15471363067626953,4.5
-0.06801629066467285,1.0
0.9392080307006836,3.0
0.020199060440063477,1.0
-2.0981104373931885,5.0
